# upstream-routes.tsv — upstream multica HTTP route table (method, path, owner).
#
# Consumed by scripts/route_parity.py. Never fetched over the network.
# source: https://github.com/louloulin/multica :: server/cmd/server/router.go
# upstream commit: f41fae6b08fb734afcbd13205c0b3203dd0bc9c6
# clone recipe: docs/20-UPSTREAM-ANALYSIS-RECIPE.md §1 (full-blob shallow clone, ~5s)
# regenerate: python3 scripts/gen_upstream_routes.py --router /tmp/up-multica/server/cmd/server/router.go --const-file /tmp/up-multica/server/pkg/publicapi/v1/routes.go --owner-rules scripts/route-owners.tsv --out docs/fixtures/upstream-routes.tsv --commit f41fae6b08fb734afcbd13205c0b3203dd0bc9c6
#
# owner column = which milestone/sub-issue owns porting this route into multica-rs.
#   vocabulary: M1 / M2-A..M2-E / M3..M10 / M3+ (deferred past M3, no issue yet)
#   / n/a (deliberately not ported).  Rationale table: docs/22-ROUTE-PARITY.md.
#   An EMPTY owner on a not-yet-implemented route is an unclaimed blind spot:
#   `python3 scripts/route_parity.py` fails (exit 1) on it.
# Regeneration preserves this column; never reorder or drop it by hand.
#
# columns: method\tpath\towner
GET	/api/agent-activity-30d	M3	# router.go:2329
GET	/api/agent-builder/sessions/	M3	# router.go:2224
POST	/api/agent-builder/sessions/	M3	# router.go:2225
PUT	/api/agent-builder/sessions/{sessionId}/draft	M3	# router.go:2229
PATCH	/api/agent-builder/sessions/{sessionId}/runtime	M3	# router.go:2226
GET	/api/agent-run-counts	M3	# router.go:2332
GET	/api/agent-task-snapshot	M3	# router.go:2318
GET	/api/agents/	M3	# router.go:2178
POST	/api/agents/	M3	# router.go:2179
POST	/api/agents/mika	M9	# router.go:2184
GET	/api/agents/{id}/	M3	# router.go:2186
PUT	/api/agents/{id}/	M3	# router.go:2187
POST	/api/agents/{id}/archive	M3	# router.go:2188
POST	/api/agents/{id}/cancel-tasks	M3	# router.go:2190
GET	/api/agents/{id}/dingtalk/groups	M7	# router.go:2192
GET	/api/agents/{id}/env	M3	# router.go:2215
PUT	/api/agents/{id}/env	M3	# router.go:2216
GET	/api/agents/{id}/labels	M3	# router.go:2196
POST	/api/agents/{id}/labels	M3	# router.go:2197
DELETE	/api/agents/{id}/labels/{labelId}	M3	# router.go:2198
GET	/api/agents/{id}/mcp-servers	M8	# router.go:2206
POST	/api/agents/{id}/mcp-servers	M8	# router.go:2207
DELETE	/api/agents/{id}/mcp-servers/{serverId}	M8	# router.go:2209
PUT	/api/agents/{id}/mcp-servers/{serverId}/enabled	M8	# router.go:2208
POST	/api/agents/{id}/restore	M3	# router.go:2189
PUT	/api/agents/{id}/runtime-skills/enabled	M6	# router.go:2200
GET	/api/agents/{id}/skills	M6	# router.go:2193
PUT	/api/agents/{id}/skills	M6	# router.go:2194
POST	/api/agents/{id}/skills/add	M6	# router.go:2195
DELETE	/api/agents/{id}/skills/{skillId}	M6	# router.go:2201
PUT	/api/agents/{id}/skills/{skillId}/enabled	M6	# router.go:2199
GET	/api/agents/{id}/tasks	M3	# router.go:2191
GET	/api/assignee-frequency	M2-A	# router.go:1952
DELETE	/api/attachments/{id}	M3+	# router.go:2156
GET	/api/attachments/{id}	M3+	# router.go:2149
GET	/api/attachments/{id}/content	M3+	# router.go:2155
GET	/api/attachments/{id}/download	M3+	# router.go:1655
GET	/api/attachments/{id}/signed-download	M3+	# router.go:1447
POST	/api/auth/refresh	M1	# router.go:1632
GET	/api/autopilots/	M5	# router.go:2101
POST	/api/autopilots/	M5	# router.go:2102
GET	/api/autopilots/cron-preview	M5	# router.go:2103
GET	/api/autopilots/usage	M5	# router.go:2104
DELETE	/api/autopilots/{id}/	M5	# router.go:2108
GET	/api/autopilots/{id}/	M5	# router.go:2106
PATCH	/api/autopilots/{id}/	M5	# router.go:2107
POST	/api/autopilots/{id}/collaborators	M5	# router.go:2122
DELETE	/api/autopilots/{id}/collaborators/{userId}	M5	# router.go:2123
GET	/api/autopilots/{id}/deliveries	M5	# router.go:2112
GET	/api/autopilots/{id}/deliveries/{deliveryId}	M5	# router.go:2113
POST	/api/autopilots/{id}/deliveries/{deliveryId}/replay	M5	# router.go:2114
GET	/api/autopilots/{id}/runs	M5	# router.go:2110
GET	/api/autopilots/{id}/runs/{runId}	M5	# router.go:2111
POST	/api/autopilots/{id}/trigger	M5	# router.go:2109
POST	/api/autopilots/{id}/triggers	M5	# router.go:2115
DELETE	/api/autopilots/{id}/triggers/{triggerId}/	M5	# router.go:2118
PATCH	/api/autopilots/{id}/triggers/{triggerId}/	M5	# router.go:2117
POST	/api/autopilots/{id}/triggers/{triggerId}/rotate-webhook-token	M5	# router.go:2119
PUT	/api/autopilots/{id}/triggers/{triggerId}/signing-secret	M5	# router.go:2120
GET	/api/avatars/{sig}/*	M3+	# router.go:1456
GET	/api/chat/history	M4	# router.go:2373
GET	/api/chat/pending-tasks	M4	# router.go:2360
GET	/api/chat/pending-tasks/has-any	M4	# router.go:2361
GET	/api/chat/pinned-agents	M4	# router.go:2364
POST	/api/chat/pinned-agents	M4	# router.go:2365
DELETE	/api/chat/pinned-agents/{agentId}	M4	# router.go:2366
GET	/api/chat/sessions/	M4	# router.go:2336
POST	/api/chat/sessions/	M4	# router.go:2335
DELETE	/api/chat/sessions/{sessionId}/	M4	# router.go:2342
GET	/api/chat/sessions/{sessionId}/	M4	# router.go:2338
PATCH	/api/chat/sessions/{sessionId}/	M4	# router.go:2339
PATCH	/api/chat/sessions/{sessionId}/archive	M4	# router.go:2341
GET	/api/chat/sessions/{sessionId}/draft-restores	M4	# router.go:2356
DELETE	/api/chat/sessions/{sessionId}/draft-restores/{restoreId}	M4	# router.go:2357
GET	/api/chat/sessions/{sessionId}/messages	M4	# router.go:2348
POST	/api/chat/sessions/{sessionId}/messages	M4	# router.go:2343
GET	/api/chat/sessions/{sessionId}/messages/page	M4	# router.go:2349
POST	/api/chat/sessions/{sessionId}/onboarding	M4	# router.go:2344
GET	/api/chat/sessions/{sessionId}/pending-task	M4	# router.go:2350
PATCH	/api/chat/sessions/{sessionId}/pin	M4	# router.go:2340
DELETE	/api/chat/sessions/{sessionId}/queued-tasks	M4	# router.go:2351
POST	/api/chat/sessions/{sessionId}/queued-tasks/{taskId}/prioritize	M4	# router.go:2352
POST	/api/chat/sessions/{sessionId}/quick-actions/regenerate	M4	# router.go:2347
POST	/api/chat/sessions/{sessionId}/read	M4	# router.go:2353
GET	/api/chat/thread	M4	# router.go:2374
POST	/api/cli-token	M1	# router.go:1628
POST	/api/client-usage	M3	# router.go:1635
GET	/api/cloud-billing/balance	M9	# router.go:1913
GET	/api/cloud-billing/batches	M9	# router.go:1915
POST	/api/cloud-billing/checkout-sessions	M9	# router.go:1918
GET	/api/cloud-billing/checkout-sessions/{sessionId}	M9	# router.go:1919
POST	/api/cloud-billing/portal-sessions	M9	# router.go:1920
GET	/api/cloud-billing/price-tiers	M9	# router.go:1917
GET	/api/cloud-billing/topups	M9	# router.go:1916
GET	/api/cloud-billing/transactions	M9	# router.go:1914
GET	/api/cloud-runtime/	M3	# router.go:2300
GET	/api/cloud-runtime/healthz	M3	# router.go:2301
DELETE	/api/cloud-runtime/nodes	M3	# router.go:2305
GET	/api/cloud-runtime/nodes	M3	# router.go:2303
POST	/api/cloud-runtime/nodes	M3	# router.go:2304
POST	/api/cloud-runtime/nodes/exec	M3	# router.go:2310
POST	/api/cloud-runtime/nodes/reboot	M3	# router.go:2308
POST	/api/cloud-runtime/nodes/start	M3	# router.go:2306
POST	/api/cloud-runtime/nodes/status	M3	# router.go:2309
POST	/api/cloud-runtime/nodes/stop	M3	# router.go:2307
GET	/api/cloud-runtime/readyz	M3	# router.go:2302
POST	/api/cloud-subscriptions/checkout-sessions	M9	# router.go:1939
POST	/api/cloud-subscriptions/portal-sessions	M9	# router.go:1943
GET	/api/cloud-subscriptions/prices	M9	# router.go:1935
POST	/api/cloud-subscriptions/seats/purchase-preview	M9	# router.go:1940
POST	/api/cloud-subscriptions/seats/purchases	M9	# router.go:1941
POST	/api/cloud-subscriptions/seats/reconcile	M9	# router.go:1942
GET	/api/cloud-subscriptions/summary	M9	# router.go:1934
DELETE	/api/comments/{commentId}/	M2-B	# router.go:2163
PUT	/api/comments/{commentId}/	M2-B	# router.go:2162
