# contracts/schema-deviations.tsv — every difference between this repo's schema and
# contracts/upstream-schema.json, registered with a reason and the issue that closes it.
#
# scripts/schema_drift.py exits 0 only when every difference it finds is registered here.
# Columns (tab separated):
#   对象         an object key, or a glob such as `issue.*` for one table's columns
#   类型         table | column | constraint | index | function | trigger | type | view |
#                extension | statement
#   差异摘要     `missing:`, `extra:`, `differs:` or `apply-exception:` followed by what was
#                compared; the tool checks the prefix and reports the rest verbatim
#   原因         why the difference is acceptable — not what it looks like
#   承接 issue   the issue that must close it; `W0-B2` is the plan1 P4 slice that switches the
#                runtime to the vendored upstream migration set
#
# 原因 and 承接 issue are mandatory and must be filled in by a person.  The skeleton rows from
# `scripts/schema_drift.py --emit-deviations` leave them blank on purpose, so pasting that
# output back can never satisfy the check.
#
# apply-exception rows are not hand-measured at all: they mirror
# contracts/upstream-apply-exceptions.tsv (generated, one row per skipped statement).  A row
# of that category with no matching skip, or a skip with no row, fails the check.

# 对象	类型	差异摘要	原因	承接 issue

#
# §1 compat 补丁新增的列 / 约束（`migrations/compat/535`–`537`）
#   上游 560 个迁移建 116 张表 / 2146 个对象；这里逐条登记本仓**真的还需要**的本地语义。
#   上游已有等价概念的，一律改本仓 SQL 对齐上游列名，不在 compat 里造重复列（见 migrations/compat/537 文件头）。
#
comment.routing_escalation	column	extra: 上游 head 没有这一列，本地语义需要它（compat 补）	本地评论的路由升级标记（`mc-repos/src/comment.rs` 读出、`routes/comments.rs` 回显）。上游 `comment` 没有这个概念，语义上无处安放 ⇒ compat 增列。	LUM-1387
inbox_item.read_at	column	extra: 上游 head 没有这一列，本地语义需要它（compat 补）	本地 inbox API 要输出**读取时间线**，上游只有 `read BOOLEAN`。方向是单向的：本地 `read_at` 是读权威，`read` 由代码双写（`mc-repos/src/inbox.rs`）⇒ compat 增列。	LUM-1387
inbox_item.archived_at	column	extra: 上游 head 没有这一列，本地语义需要它（compat 补）	同 `read_at`：本地要归档时间，上游只有 `archived BOOLEAN`（双写，本地列权威）。	LUM-1387
issue.identifier	column	extra: 上游 head 没有这一列，本地语义需要它（compat 补）	本地把人可读编号（`W-12`）直接落盘；上游用 `workspace.issue_prefix` + `issue.number` 组合。值本身与上游概念等价但存储位置不同 ⇒ compat 增列。	LUM-1387
issue.status_name	column	extra: 上游 head 没有这一列，本地语义需要它（compat 补）	本地把自定义状态的**显示名**随 issue 落盘（避免每次都 join `issue_status`）；上游只存 `status` key ⇒ compat 增列。	LUM-1387
issue.origin	column	extra: 上游 head 没有这一列，本地语义需要它（compat 补）	本地来源标记（`mc_core::IssueOrigin` 枚举字符串）。上游 `origin_type` 值域是 autopilot/quick_create/lark_chat/… 且配套 `origin_id`，与本地的 `origin` 语义不同 ⇒ 不映射，compat 增列。	LUM-1387
issue.origin_task_id	column	extra: 上游 head 没有这一列，本地语义需要它（compat 补）	本地记录「这条 issue 由哪个 task 造出来」；上游 `origin_id` 指向渠道对象，语义不同 ⇒ compat 增列。	LUM-1387
issue.source_context_id	column	extra: 上游 head 没有这一列，本地语义需要它（compat 补）	本地来源上下文 id（M3 的 issue 创建链路读它）；上游未建模 ⇒ compat 增列。	LUM-1387
member.updated_at	column	extra: 上游 head 没有这一列，本地语义需要它（compat 补）	上游 `member` 只有 `created_at`；本地成员管理接口（改角色/移除）读 `updated_at` ⇒ compat 增列。	LUM-1387
personal_access_token.token_last4	column	extra: 上游 head 没有这一列，本地语义需要它（compat 补）	本地 `GET /api/pats` 回显的片段；上游只有 `token_prefix` ⇒ compat 增列。	LUM-1387
